Year,Region,Exports (USD),Exports % to Prev Year,Exports % of total,Imports (USD),Imports % to Prev Year,Imports % of total,Balance
2012,Ukraine,68809810.60,100.60,100.00,84658059.91,102.50,100.00,-15848249.30
2012,Autonomous Republic of Crimea,888835.10,131.50,1.30,1435417.80,97.90,1.70,-546582.70
2012,Vinnytsya,652401.80,98.60,0.90,498364.70,129.60,0.60,154037.10
2012,Volyn,605783.60,93.70,0.90,1015138.60,95.80,1.20,-409355.00
2012,Dnipropetrovsk,10129717.10,97.80,14.70,6538262.70,97.30,7.70,3591454.40
2012,Donetsk,14127178.90,82.20,20.50,4168468.90,90.20,4.90,9958710.00
2012,Zhytomyr,550038.40,106.70,0.80,384271.60,83.50,0.50,165766.80
2012,Zakarpattya,1385087.30,99.10,2.00,2009084.90,100.60,2.40,-623997.60
2012,Zaporizhzhya,4004800.10,96.50,5.80,2013430.00,88.70,2.40,1991370.10
2012,Ivano-Frankivsk,821538.00,87.20,1.20,983751.30,92.10,1.20,-162213.30
2012,Kyiv,1982972.10,116.90,2.90,4793231.80,112.50,5.70,-2810259.70
2012,Kirovohrad,630605.60,142.20,0.90,284874.70,125.60,0.30,345730.90
2012,Luhansk,4192709.30,64.50,6.10,1989588.70,114.10,2.40,2203120.60
2012,Lviv,1343535.60,111.80,2.00,3373475.20,105.30,4.00,-2029939.60
2012,Mykolayiv,2370724.80,143.30,3.40,895654.20,86.00,1.10,1475070.60
2012,Odesa,1784639.50,115.80,2.60,4304579.90,136.90,5.10,-2519940.40
2012,Poltava,3404406.80,101.40,4.90,1322736.30,116.80,1.60,2081670.50
2012,Rivne,503536.40,92.70,0.70,458652.50,106.40,0.50,44883.90
2012,Sumy,1122088.20,110.30,1.60,678821.90,83.40,0.80,443266.30
2012,Ternopil,236823.60,98.10,0.30,336848.70,103.90,0.40,-100025.10
2012,Kharkiv,2022112.60,109.60,2.90,2741037.00,120.40,3.20,-718924.40
2012,Kherson,328474.10,96.90,0.50,206635.20,86.60,0.20,121838.90
2012,Khmelnytskiy,460424.90,117.00,0.70,564880.30,101.80,0.70,-104455.40
2012,Cherkasy,1007649.90,95.20,1.50,576908.00,113.40,0.70,430741.90
2012,Chernivtsi,124920.00,91.50,0.20,174891.70,107.30,0.20,-49971.70
2012,Chernihiv,542355.40,129.50,0.80,544794.30,96.90,0.60,-2438.90
2012,Kyiv,12 770 311.4,140.90,18.60,26 115 989.1,114.70,30.80,-13345677.70
2012,Sevastopol,159 410.9,128.40,0.20,145 343.9,143.00,0.20,14067.00
2013,Ukraine,63312022.10,92.00,100.00,76963965.41,90.90,100.00,-13651943.30
2013,Autonomous Republic of Crimea,904896.20,101.80,1.40,1044489.00,72.80,1.40,-139592.80
2013,Vinnytsya,679307.90,104.10,1.10,496105.50,99.60,0.60,183202.40
2013,Volyn,628811.20,103.80,1.00,1089007.10,107.30,1.40,-460195.90
