Country Name,Series Name,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Ukraine,"Population, total",46210056,46126770,45972380,45784896,45616832,45436041,45208907,44957458,44680014,44298640,41048766
Ukraine,Population growth (annual %),-0.21141212,-0.180396113,-0.335269423,-0.40865263,-0.367748385,-0.397112648,-0.501151979,-0.557746011,-0.61903773,-0.857231073,-7.619320226
Ukraine,Surface area (sq. km),603550,603550,603550,603550,603550,603550,603550,603550,603550,603550,603550
Ukraine,Population density (people per sq. km of land area),79.76602914,79.62226403,79.35987157,79.03622711,78.74610644,78.43266183,78.02710908,77.59312737,77.11428029,76.45605799,70.84702451
Ukraine,Poverty headcount ratio at national poverty lines (% of population),..,..,..,..,..,..,..,..,1.6,..,..
Ukraine,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),0.1,0.1,0,0.3,0.2,0.1,0.2,0.2,0,..,..
Ukraine,"GNI, Atlas method (current US$)",1.66416E+11,1.79848E+11,1.53131E+11,1.19858E+11,1.0078E+11,1.00202E+11,1.16377E+11,1.39085E+11,1.49174E+11,1.69967E+11,1.51668E+11
Ukraine,"GNI per capita, Atlas method (current US$)",3600,3900,3500,2760,2330,2330,2720,3270,3530,4060,3930
Ukraine,"GNI, PPP (current international $)",4.36605E+11,4.95613E+11,4.53349E+11,4.4924E+11,4.74782E+11,5.0373E+11,5.42426E+11,6.11906E+11,6.70442E+11,7.24798E+11,5.99538E+11
Ukraine,"GNI per capita, PPP (current international $)",9450,10740,10370,10340,10980,11700,12680,14390,15880,17330,15540
Ukraine,Income share held by lowest 20%,10.2,10.3,10.5,10,10.1,9.8,9.9,9.7,10,..,..
Ukraine,"Life expectancy at birth, total (years)",71.09,71.474,71.803,72.686,73.389,73.993,73.569,73.92,73.283,71.631,72.658
Ukraine,"Fertility rate, total (births per woman)",1.528,1.515,1.466,1.387,1.391,1.3,1.233,1.218,1.208,1.148,0.897
Ukraine,"Adolescent fertility rate (births per 1,000 women ages 15-19)",29.97,28.739,27.66,26.161,25.018,21.711,18.583,16.636,15.489,14.417,10.271
Ukraine,"Contraceptive prevalence, any method (% of married women ages 15-49)",65.4588684,..,..,..,..,..,..,..,..,..,..
Ukraine,Births attended by skilled health staff (% of total),99,99.9,99.9,..,..,..,..,..,..,..,..
Ukraine,"Mortality rate, under-5 (per 1,000 live births)",10.7,10.2,9.8,9.4,9.1,8.9,8.7,8.5,8.4,8.2,8.5
Ukraine,"Prevalence of underweight, weight for age (% of children under 5)",..,..,..,..,..,..,..,..,..,..,..
Ukraine,"Immunization, measles (% of children ages 12-23 months)",79,79,56,56,42,86,91,93,85,88,74
Ukraine,"Primary completion rate, total (% of relevant age group)",97.30905151,98.62476349,96.21494293,88.57595825,86.1604538,87.53417206,83.90885925,89.05339813,89.75779724,89.28987885,..
Ukraine,"School enrollment, primary (% gross)",97.14199066,96.31407928,95.47203827,87.8509903,87.40920258,88.21408844,88.57288361,90.68096924,91.11221313,91.1486969,92.77116345
Ukraine,"School enrollment, secondary (% gross)",99.47754669,99.43038177,98.29631805,90.50289917,88.54575348,86.78869629,85.83319092,84.45683289,84.42832947,84.65162659,..
Ukraine,"School enrollment, primary and secondary (gross), gender parity index (GPI)",0.991639972,0.987689972,0.995869994,..,..,..,..,..,..,..,..
Ukraine,"Prevalence of HIV, total (% of population ages 15-49)",..,..,..,..,..,..,..,..,..,..,..
Ukraine,Forest area (sq. km),95916,96134,96352,96570,96640,96710,96780,96840,96900,96960,97020
Ukraine,Terrestrial and marine protected areas (% of total territorial area),..,3.9,3.9,3.9,3.9,3.9,3.9,3.9,4.2,12.3,12.3
Ukraine,"Annual freshwater withdrawals, total (% of internal resources)",23.36569873,21.573049,19.78039927,16.53176044,16.92377495,19.42831216,19.42831216,19.23049002,17.16696915,17.16696915,..
Ukraine,Urban population growth (annual %),-0.076109486,-0.045278022,-0.200333913,-0.273898282,-0.233175337,-0.264164491,-0.348192328,-0.383424545,-0.42490731,-0.643404511,-7.387352683
Ukraine,Energy use (kg of oil equivalent per capita),2651.07563,2517.942909,2298.641037,2027.672982,2007.977942,1967.835352,2068.756084,1987.624733,1932.921823,1991.182424,1492.96963
Ukraine,Electric power consumption (kWh per capita),3591.967082,3550.4979,3366.564881,3164.580739,3160.982332,2950.785259,3025.310919,2973.077348,2921.709022,3165.176177,2440.390047
Ukraine,GDP (current US$),1.82592E+11,1.90499E+11,1.33504E+11,91030967789,93355869404,1.12091E+11,1.30891E+11,1.53883E+11,1.56618E+11,1.99766E+11,1.6199E+11
Ukraine,GDP growth (annual %),0.152314967,0.045439094,-10.07889498,-9.772987213,2.440981945,2.359972281,3.48836234,3.199503864,-3.75281794,3.445620659,-28.75858422
Ukraine,"Inflation, GDP deflator (annual %)",7.98256111,4.308793437,15.90173752,38.88167976,17.09713492,22.0983175,15.39853035,8.246226266,10.29496014,24.80475677,34.91528514
Ukraine,"Agriculture, forestry, and fishing, value added (% of GDP)",7.761312484,8.692305621,10.15460815,12.05937611,11.72570091,10.17765504,10.13953311,8.965181014,9.310151098,10.88577211,8.57297627
Ukraine,"Industry (including construction), value added (% of GDP)",24.26605241,22.43026499,22.81899157,21.72795774,23.17836207,23.28880022,23.29333298,22.58041968,20.79994297,23.15371422,18.0108316
Ukraine,Exports of goods and services (% of GDP),47.38283156,42.89738267,48.59296182,52.59767951,49.29861946,48.12491635,45.23523566,41.23169126,38.82164629,40.68834048,35.44511534
Ukraine,Imports of goods and services (% of GDP),55.2399568,51.10428678,52.09882067,55.20893679,56.22258546,55.91006656,53.96457941,49.27954304,40.33480609,42.00962089,51.95139865
Ukraine,Gross capital formation (% of GDP),19.61467923,16.42576102,13.39649572,15.93331603,21.72416236,19.96473264,18.58833885,14.89035748,8.932299327,14.46745268,12.11328862
Ukraine,"Revenue, excluding grants (% of GDP)",36.09507839,34.76762282,33.68454517,35.75839408,31.20273316,32.57099845,32.1350394,31.86584374,32.31673846,30.05478596,29.28108646
Ukraine,Domestic credit provided by financial sector (% of GDP),84.58752826,91.43190776,108.4600619,85.19330289,78.70656901,65.60249981,57.33485731,48.61021174,50.80521795,41.4530919,49.16439833
