year,type_of_violence,Region,best_est,latitude,longitude,date_start,date_end,event_clarity
2014,1,Kiev Special Republican city,5,50.45,30.52333,22/01/2014,22/01/2014,1
2014,1,Kiev Special Republican city,1,50.45,30.52333,27/01/2014,27/01/2014,1
2014,1,Kiev Special Republican city,26,50.45,30.52333,18/02/2014,18/02/2014,1
2014,1,Kiev Special Republican city,2,50.45,30.52333,18/02/2014,20/02/2014,2
2014,1,Kiev Special Republican city,48,50.45,30.52333,20/02/2014,20/02/2014,1
2014,1,Kiev Special Republican city,6,50.45,30.52333,18/02/2014,21/02/2014,2
2014,1,Autonomous Republic of Crimea,2,44.951944,34.102222,18/03/2014,18/03/2014,1
2014,1,Autonomous Republic of Crimea,1,45.093056,33.595,06/04/2014,06/04/2014,1
2014,1,Donetsk oblast,3,48.853333,37.625,13/04/2014,13/04/2014,1
2014,1,Donetsk oblast,1,48.776492,37.778737,13/04/2014,13/04/2014,1
2014,1,Donetsk oblast,3,47.095833,37.549444,16/04/2014,17/04/2014,1
2014,1,Donetsk oblast,0,48.7067,37.6302,16/04/2014,16/04/2014,1
2014,1,Donetsk oblast,4,48.837342,37.500353,20/04/2014,20/04/2014,1
2014,1,Donetsk oblast,5,48.853333,37.625,24/04/2014,24/04/2014,1
2014,1,Donetsk oblast,5,48.853333,37.625,02/05/2014,02/05/2014,1
2014,2,Odessa oblast,45,46.466667,30.733333,02/05/2014,02/05/2014,1
2014,1,Donetsk oblast,1,48.817931,37.551012,02/05/2014,02/05/2014,1
2014,1,Donetsk oblast,10,48.853333,37.625,03/05/2014,03/05/2014,1
2014,1,Donetsk oblast,0,48.817931,37.551012,03/05/2014,03/05/2014,1
2014,1,Luhansk oblast,1,48.566667,39.3,04/05/2014,04/05/2014,1
2014,1,Donetsk oblast,10,48.853333,37.625,05/05/2014,05/05/2014,1
2014,1,Donetsk oblast,1,48.716667,37.533333,03/05/2014,03/05/2014,1
2014,1,Donetsk oblast,13,47.095833,37.549444,09/05/2014,09/05/2014,1
2014,1,Donetsk oblast,7,48.462882,37.349593,13/05/2014,13/05/2014,1
2014,1,Donetsk oblast,1,48.813702,37.56144,19/05/2014,19/05/2014,1
2014,1,Donetsk oblast,18,47.700319,37.420509,22/05/2014,22/05/2014,1
2014,1,Donetsk oblast,15,48.1111,37.4884,23/05/2014,23/05/2014,1
2014,1,Luhansk oblast,0,49.0142,38.3,22/05/2014,22/05/2014,1
2014,1,Donetsk oblast,2,48.853333,37.625,24/05/2014,24/05/2014,1
2014,1,Luhansk oblast,1,48.97,39,25/05/2014,25/05/2014,1
2014,1,Donetsk oblast,1,47.095833,37.549444,25/05/2014,25/05/2014,1
2014,1,Donetsk oblast,50,48.075,37.725556,26/05/2014,27/05/2014,1
2014,1,Donetsk oblast,2,48.3,38.05,26/05/2014,27/05/2014,1
2014,1,Donetsk oblast,12,48.853333,37.625,29/05/2014,29/05/2014,1
2014,1,Donetsk oblast,1,47.866121,38.858509,02/06/2014,02/06/2014,1
2014,1,Luhansk oblast,8,48.566667,39.3,02/06/2014,02/06/2014,1
2014,1,Luhansk oblast,6,48.566667,39.3,03/06/2014,04/06/2014,1
2014,1,Donetsk oblast,10,48.853333,37.625,05/06/2014,05/06/2014,1
2014,1,Donetsk oblast,1,48.853333,37.625,06/06/2014,06/06/2014,1
2014,1,Donetsk oblast,40,48.7067,37.6302,10/06/2014,10/06/2014,1
2014,1,Donetsk oblast,5,47.095833,37.549444,13/06/2014,13/06/2014,1
2014,1,Luhansk oblast,49,48.398394,39.479525,14/06/2014,14/06/2014,1
2014,1,Donetsk oblast,50,48.621389,37.527778,14/06/2014,14/06/2014,1
2014,1,Donetsk oblast,5,47.095833,37.549444,14/06/2014,14/06/2014,1
2014,1,Luhansk oblast,10,48.566667,39.3,17/06/2014,17/06/2014,1
2014,1,Donetsk oblast,2,48.85085,37.68517,10/06/2014,10/06/2014,1
2014,1,Donetsk oblast,2,48.853333,37.625,20/06/2014,20/06/2014,1
2014,1,Donetsk oblast,16,48.985278,37.811111,19/06/2014,19/06/2014,1
2014,1,Donetsk oblast,9,48.818943,37.465983,24/06/2014,24/06/2014,1
2014,1,Donetsk oblast,5,48.85085,37.68517,24/06/2014,24/06/2014,1
2014,1,Donetsk oblast,1,48.466022,37.086342,21/06/2014,21/06/2014,1
2014,1,,1,48.15,38.65,04/07/2014,04/07/2014,1
2014,1,Donetsk oblast,4,48.716667,37.533333,26/06/2014,26/06/2014,1
2014,1,Donetsk oblast,3,48.862364,37.668482,28/06/2014,28/06/2014,1
2014,1,Donetsk oblast,1,48,37.805278,29/06/2014,29/06/2014,1
2014,1,Donetsk oblast,1,48,37.805278,30/06/2014,01/07/2014,1
2014,1,Donetsk oblast,4,48,37.805278,03/07/2014,03/07/2014,1
2014,1,Donetsk oblast,3,47.933,38.936,09/07/2014,10/07/2014,1
2014,1,Luhansk oblast,1,48.80699,38.735538,09/07/2014,09/07/2014,1
2014,1,Luhansk oblast,3,47.848613,39.751691,10/07/2014,10/07/2014,1
2014,1,Donetsk oblast,1,47.984071,37.277298,10/07/2014,10/07/2014,1
2014,1,Luhansk oblast,36,47.914775,39.471546,11/07/2014,11/07/2014,1
2014,1,Luhansk oblast,0,48.92,39.02,08/07/2014,10/07/2014,1
2014,1,Luhansk oblast,4,48.566667,39.3,11/07/2014,11/07/2014,1
2014,1,Luhansk oblast,1,47.95,39.14,12/07/2014,12/07/2014,1
2014,1,Luhansk oblast,1,48.215,39.7755,12/07/2014,12/07/2014,1
2014,1,Donetsk oblast,4,47.941669,37.504218,11/07/2014,12/07/2014,1
2014,1,Donetsk oblast,0,48.397804,37.843767,11/07/2014,12/07/2014,1
2014,1,Luhansk oblast,0,48.440496,38.815079,11/07/2014,12/07/2014,1
2014,1,Luhansk oblast,30,48.587,39.184193,13/07/2014,13/07/2014,1
2014,1,Luhansk oblast,10,48.694329,39.453292,02/07/2014,02/07/2014,1
2014,1,Donetsk oblast,11,48.028278,38.765611,15/07/2014,15/07/2014,1
2014,1,Luhansk oblast,2,48.498025,39.829269,14/07/2014,14/07/2014,1
2014,1,Donetsk oblast,298,48.138378,38.639032,17/07/2014,17/07/2014,1
2014,1,Donetsk oblast,5,48,37.805278,21/07/2014,21/07/2014,1
2014,1,Donetsk oblast,1,48,37.805278,20/07/2014,20/07/2014,1
2014,1,Luhansk oblast,2,48.933333,38.5,20/07/2014,22/07/2014,1
2014,1,Luhansk oblast,4,48.910332,38.422454,23/07/2014,23/07/2014,1
2014,1,Donetsk oblast,7,48,37.805278,12/07/2014,12/07/2014,1
2014,1,Donetsk oblast,12,48.3,38.05,27/07/2014,27/07/2014,1
2014,1,Donetsk oblast,3,47.922986,38.740539,26/07/2014,26/07/2014,1
2014,1,Donetsk oblast,17,48.3,38.05,28/07/2014,28/07/2014,1
2014,1,Luhansk oblast,5,48.566667,39.3,28/07/2014,28/07/2014,1
2014,1,Donetsk oblast,4,48.127778,37.8625,28/07/2014,29/07/2014,1
2014,1,Donetsk oblast,10,47.951526,38.86556,29/07/2014,29/07/2014,1
2014,1,Donetsk oblast,2,48,37.805278,29/07/2014,29/07/2014,1
2014,1,Luhansk oblast,3,48.566667,39.3,30/07/2014,31/07/2014,1
2014,1,Luhansk oblast,62,48.566667,39.3,05/05/2014,31/07/2014,2
2014,1,Donetsk oblast,22,48.046944,38.468611,31/07/2014,31/07/2014,1
2014,1,Donetsk oblast,1,48,37.805278,31/07/2014,01/08/2014,1
2014,1,Luhansk oblast,5,48.566667,39.3,31/07/2014,01/08/2014,1
2014,1,Luhansk oblast,3,48.566667,39.3,02/08/2014,03/08/2014,1
2014,1,Donetsk oblast,6,47.94542,37.617341,02/08/2014,03/08/2014,1
