ADM1_EN,ntl,year,day_of_year,filename,date
Khmelnytska,59694.57868,2012,1,VNP46A3.A2012001.h20v03.001.2021124111653.h5,01/01/2012
Kyivska,64719.77759,2012,1,VNP46A3.A2012001.h20v03.001.2021124111653.h5,01/01/2012
Lvivska,65057.54094,2012,1,VNP46A3.A2012001.h20v03.001.2021124111653.h5,01/01/2012
Rivnenska,63169.55735,2012,1,VNP46A3.A2012001.h20v03.001.2021124111653.h5,01/01/2012
Ternopilska,64211.78701,2012,1,VNP46A3.A2012001.h20v03.001.2021124111653.h5,01/01/2012
Volynska,63737.90412,2012,1,VNP46A3.A2012001.h20v03.001.2021124111653.h5,01/01/2012
Zhytomyrska,59934.67157,2012,1,VNP46A3.A2012001.h20v03.001.2021124111653.h5,01/01/2012
Cherkaska,65458.56543,2012,1,VNP46A3.A2012001.h20v04.001.2021124111656.h5,01/01/2012
Chernivetska,61768.74751,2012,1,VNP46A3.A2012001.h20v04.001.2021124111656.h5,01/01/2012
Ivano-Frankivska,62001.49432,2012,1,VNP46A3.A2012001.h20v04.001.2021124111656.h5,01/01/2012
Khmelnytska,63747.75024,2012,1,VNP46A3.A2012001.h20v04.001.2021124111656.h5,01/01/2012
Kirovohradska,65122.06635,2012,1,VNP46A3.A2012001.h20v04.001.2021124111656.h5,01/01/2012
Kyivska,65521.55416,2012,1,VNP46A3.A2012001.h20v04.001.2021124111656.h5,01/01/2012
Lvivska,64135.58349,2012,1,VNP46A3.A2012001.h20v04.001.2021124111656.h5,01/01/2012
Odeska,53410.01879,2012,1,VNP46A3.A2012001.h20v04.001.2021124111656.h5,01/01/2012
Ternopilska,63876.80382,2012,1,VNP46A3.A2012001.h20v04.001.2021124111656.h5,01/01/2012
Vinnytska,62304.13199,2012,1,VNP46A3.A2012001.h20v04.001.2021124111656.h5,01/01/2012
Zakarpatska,58029.66778,2012,1,VNP46A3.A2012001.h20v04.001.2021124111656.h5,01/01/2012
Zhytomyrska,64814.88437,2012,1,VNP46A3.A2012001.h20v04.001.2021124111656.h5,01/01/2012
Cherkaska,65535,2012,1,VNP46A3.A2012001.h21v03.001.2021124111725.h5,01/01/2012
Chernihivska,64970.84619,2012,1,VNP46A3.A2012001.h21v03.001.2021124111725.h5,01/01/2012
Kharkivska,63562.75508,2012,1,VNP46A3.A2012001.h21v03.001.2021124111725.h5,01/01/2012
Kyiv,65535,2012,1,VNP46A3.A2012001.h21v03.001.2021124111725.h5,01/01/2012
Kyivska,65502.76034,2012,1,VNP46A3.A2012001.h21v03.001.2021124111725.h5,01/01/2012
Luhanska,65153.98256,2012,1,VNP46A3.A2012001.h21v03.001.2021124111725.h5,01/01/2012
Poltavska,65290.13517,2012,1,VNP46A3.A2012001.h21v03.001.2021124111725.h5,01/01/2012
Sumska,64373.49671,2012,1,VNP46A3.A2012001.h21v03.001.2021124111725.h5,01/01/2012
Autonomous Republic of Crimea,36826.96901,2012,1,VNP46A3.A2012001.h21v04.001.2021124111723.h5,01/01/2012
Cherkaska,65234.73509,2012,1,VNP46A3.A2012001.h21v04.001.2021124111723.h5,01/01/2012
Dnipropetrovska,64450.99115,2012,1,VNP46A3.A2012001.h21v04.001.2021124111723.h5,01/01/2012
Donetska,65028.50896,2012,1,VNP46A3.A2012001.h21v04.001.2021124111723.h5,01/01/2012
Kharkivska,63838.9579,2012,1,VNP46A3.A2012001.h21v04.001.2021124111723.h5,01/01/2012
Khersonska,28196.65861,2012,1,VNP46A3.A2012001.h21v04.001.2021124111723.h5,01/01/2012
Kirovohradska,65360.96094,2012,1,VNP46A3.A2012001.h21v04.001.2021124111723.h5,01/01/2012
Kyivska,65513.25196,2012,1,VNP46A3.A2012001.h21v04.001.2021124111723.h5,01/01/2012
Luhanska,64345.90449,2012,1,VNP46A3.A2012001.h21v04.001.2021124111723.h5,01/01/2012
Mykolaivska,59181.7025,2012,1,VNP46A3.A2012001.h21v04.001.2021124111723.h5,01/01/2012
Odeska,43988.13924,2012,1,VNP46A3.A2012001.h21v04.001.2021124111723.h5,01/01/2012
Poltavska,65315.18107,2012,1,VNP46A3.A2012001.h21v04.001.2021124111723.h5,01/01/2012
Sevastopol,58791.29288,2012,1,VNP46A3.A2012001.h21v04.001.2021124111723.h5,01/01/2012
Vinnytska,60073.75,2012,1,VNP46A3.A2012001.h21v04.001.2021124111723.h5,01/01/2012
Zaporizka,64422.71223,2012,1,VNP46A3.A2012001.h21v04.001.2021124111723.h5,01/01/2012
Luhanska,65245.79523,2012,1,VNP46A3.A2012001.h22v04.001.2021124111738.h5,01/01/2012
Khmelnytska,33325.00039,2012,32,VNP46A3.A2012032.h20v03.001.2021124104913.h5,01/02/2012
Kyivska,20967.52643,2012,32,VNP46A3.A2012032.h20v03.001.2021124104913.h5,01/02/2012
Lvivska,23837.63647,2012,32,VNP46A3.A2012032.h20v03.001.2021124104913.h5,01/02/2012
